specialty	institution	city	state
Anesthesiology	Hospital of the Univ of Pennsylvania	Philadelphia	PA
Anesthesiology	Hospital of the Univ of Pennsylvania	Philadelphia	PA
Anesthesiology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Anesthesiology	NYP Hosp-Weill Cornell Med Ctr	New York	NY
Anesthesiology	NYP Hosp-Weill Cornell Med Ctr	New York	NY
Anesthesiology	Stanford Health Care	Stanford	CA
Anesthesiology	U Chicago Med Ctr	Chicago	IL
Anesthesiology	U Chicago Med Ctr	Chicago	IL
Dermatology	Cook County-Stroger Hospital	Chicago	IL
Dermatology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Dermatology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Dermatology	UC San Francisco	San Francisco	CA
Emergency Medicine	ISMMS Mount Sinai Hospital	New York	NY
Emergency Medicine	ISMMS Mount Sinai Morningside-West	New York	NY
Emergency Medicine	Temple Univ Hosp	Philadelphia	PA
Emergency Medicine	U Miami/Jackson Health System	Miami	FL
Family Medicine	Boston Univ Med Ctr	Boston	MA
Family Medicine	UC San Francisco	San Francisco	CA
Family Medicine	U Chicago Med Ctr	Chicago	IL
Internal Medicine	Baylor College of Medicine	Houston	TX
Internal Medicine	Beth Israel Deaconess Med Ctr	Boston	MA
Internal Medicine	Beth Israel Deaconess Med Ctr	Boston	MA
Internal Medicine	Emory Univ SOM	Atlanta	GA
Internal Medicine	ISMMS Mount Sinai Hospital	New York	NY
Internal Medicine	ISMMS Mount Sinai Hospital	New York	NY
Internal Medicine	MGB Brigham & Womens Hosp	Boston	MA
Internal Medicine	MGB Massachusetts Gen Hospital	Boston	MA
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Weill Cornell Med Ctr	New York	NY
Internal Medicine	NYP Hosp-Weill Cornell Med Ctr	New York	NY
Internal Medicine	NYU Grossman School Of Medicine	New York	NY
Internal Medicine	NYU Grossman School Of Medicine	New York	NY
Internal Medicine	Tufts Medical Center	Boston	MA
Internal Medicine	UCLA Medical Center	Los Angeles	CA
Internal Medicine	UCLA Medical Center	Los Angeles	CA
Internal Medicine	U Chicago Med Ctr	Chicago	IL
Internal Medicine	U Washington Affil Hosps	Seattle	WA
Internal Medicine	Vanderbilt Univ Med Ctr	Nashville	TN
Medicine - Emergency Med	SUNY HSC Brooklyn	Brooklyn	NY
Medicine - Pediatrics	Yale-New Haven Hosp	New Haven	CT
Neurological Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurological Surgery	Rush University Med Ctr	Chicago	IL
Neurological Surgery	U Wisconsin Hospital and Clinics	Madison	WI
Neurological Surgery	Walter Reed Army Medical Center	Bethesda	MD
Neurology	MGB Massachusetts Gen Hospital	Boston	MA
Neurology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Neurology	Rutgers-Robert Wood Johnson Medical School	New Brunswick	NJ
Obstetrics-Gynecology	ISMMS Mount Sinai Hospital	New York	NY
Obstetrics-Gynecology	Maine Medical Center	Portland	ME
Obstetrics-Gynecology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Obstetrics-Gynecology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Obstetrics-Gynecology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Obstetrics-Gynecology	Ohio State Univ Med Ctr	Columbus	OH
Obstetrics-Gynecology	U Chicago Med Ctr	Chicago	IL
Obstetrics-Gynecology	UMass Chan Medical School	Worcester	MA
Ophthalmology	NYMC-Westchester Med Ctr-NY	Valhalla	NY
Ophthalmology	SUNY HSC Brooklyn	Brooklyn	NY
Oral and Maxillofacial Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Oral and Maxillofacial Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Orthopedic Surgery	Barnes Jewish Hosp/ Wash U	St. Louis	MO
Orthopedic Surgery	Cedars Sinai Medical Center	Los Angeles	CA
Orthopedic Surgery	Hosp For Special Surg	New York	NY
Orthopedic Surgery	Hosp For Special Surg	New York	NY
Orthopedic Surgery	Johns Hopkins Hosp	Baltimore	MD
Orthopedic Surgery	Mayo School of Graduate Med Educ	Rochester	MN
Orthopedic Surgery	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Orthopedic Surgery	UCLA Medical Center	Los Angeles	CA
Orthopedic Surgery	UMass Chan Medical School	Worcester	MA
Otolaryngology	Boston Univ Med Ctr	Boston	MA
Otolaryngology	Hospital of the Univ of Pennsylvania	Philadelphia	PA
Otolaryngology	Hospital of the Univ of Pennsylvania	Philadelphia	PA
Otolaryngology	Medical University of SC	Charleston	SC
Otolaryngology	UC San Francisco	San Francisco	CA
Otolaryngology	U Miami/Jackson Health System	Miami	FL
Otolaryngology	U Washington Affil Hosps	Seattle	WA
Pathology	NYP Hosp-Columbia Univ Med Ctr	New York	NY
Pediatrics	Childrens Hosp-Philadelphia	Philadelphia	PA
Pediatrics	Childrens Hosp-Philadelphia	Philadelphia	PA
