specialty	institution	city	state
Anesthesiology	Brown University/Rhode Island Hospital	Providence	RI
Anesthesiology	Cedars-Sinai Medical Center	Los Angeles	CA
Anesthesiology	Cleveland Clinic	Cleveland	OH
Anesthesiology	Cleveland Clinic	Cleveland	OH
Anesthesiology	Harbor-UCLA Medical Center	Torrance	CA
Anesthesiology	Icahn School of Medicine at Mount Sinai Hospital	New York	NY
Anesthesiology	Johns Hopkins Hospital	Baltimore	MD
Anesthesiology	Johns Hopkins Hospital	Baltimore	MD
Anesthesiology	UC Irvine Medical Center	Orange	CA
Child Neurology	Nationwide Children's Hospital	Columbus	OH
Dermatology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Dermatology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Dermatology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Dermatology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Dermatology	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Dermatology	Cleveland Clinic	Cleveland	OH
Dermatology	Mayo Clinic School of Graduate Medical Education	Jacksonville	FL
Dermatology	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Dermatology	Northwestern McGaw/NMH/VA	Chicago	IL
Dermatology	Ohio State University Medical Center	Gahanna	OH
Dermatology	University of Miami Jackson Health System	Miami	FL
Dermatology/Internal Medicine	MedStar Georgetown University Hospital Washington Hospital Center	Washington	DC
Dermatology/Pediatric	Hospital of the University of Pennsylvania	Philadelphia	PA
Emergency Medicine	Aultman Hospital/NEOMED	Canton	OH
Emergency Medicine	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Emergency Medicine	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Emergency Medicine	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
Emergency Medicine	MGB-Brigham & Women's Hospital	Boston	MA
Emergency Medicine	New York-Presbyterian Weill Cornell Medical Center	New York	NY
Emergency Medicine	Northwestern McGaw/NMH/VA	Chicago	IL
Emergency Medicine	Ohio State University Medical Center	Columbus	OH
Emergency Medicine	Temple University Hospital	Philadelphia	PA
Emergency Medicine	University of Chicago Medical Center	Chicago	IL
Family Medicine	AdventHealth Florida	Orlando	FL
Family Medicine	Ascension St. Joseph	Chicago	IL
Family Medicine	Creighton University East Valley	Gilbert	AZ
Family Medicine	Emory University School of Medicine	Atlanta	GA
Family Medicine	Greater Lawrence Family Health Center	Lawrence	MA
Family Medicine	Henry Ford Hospital	Detroit	MI
Family Medicine	PIH Health Downey Hospital	Downey	CA
Family Medicine	Stanford Health Care	San Jose	CA
Family Medicine	Swedish Medical Center	Seattle	WA
Family Medicine	Swedish Medical Center	Seattle	WA
Family Medicine	UPMC St Margaret	Pittsburgh	PA
Family Medicine	Waco Family Medicine Institute	Waco	TX
General Surgery	Advocate Health Care	Park Ridge	IL
General Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
General Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
General Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
General Surgery	Cleveland Clinic	Cleveland	OH
General Surgery	MetroHealth Medical Center/Case Western Reserve University	Cleveland	OH
General Surgery	MGB-Brigham & Women's Hospital	Boston	MA
General Surgery	New York Medical College-Metropolitan Hospital Center	New York	NY
General Surgery	New York-Presbyterian Queens Hospital	Flushing	NY
General Surgery	Rush University Medical Center	Chicago	IL
General Surgery	Summa Health/NEOMED	Akron	OH
General Surgery	Temple University Hospital	Philadelphia	PA
General Surgery	Thomas Jefferson University	Philadelphia	PA
General Surgery	University of Michigan Medical Center	Ann Arbor	MI
General Surgery	University of Vermont Medical Center	Burlington	VT
General Surgery	Vanderbilt University Medical Center	Nashville	TN
General Surgery/SASS Research	Stanford Health Care	Stanford	CA
General Surgery/Research	University of Colorado School of Medicine	Aurora	CO
Internal Medicine	Barnes Jewish Hospital	St Louis	MO
Internal Medicine	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Internal Medicine	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Internal Medicine	Cleveland Clinic	Cleveland	OH
Internal Medicine	Duke University Medical Center	Durham	NC
Internal Medicine	Emory University School of Medicine	Atlanta	GA
Internal Medicine	Hospital of the University of Pennsylvania	Philadelphia	PA
Internal Medicine	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine	Kaiser Permanente	Oakland	CA
Internal Medicine	Mayo Clinic School of Graduate Medical Education	Jacksonville	FL
Internal Medicine	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Internal Medicine	Mayo Clinic School of Graduate Medical Education	Rochester	MN
Internal Medicine	MGB-Brigham & Women's Hospital	Boston	MA
Internal Medicine	MGB-Massachusetts General Hospital	Boston	MA
Internal Medicine	New York-Presbyterian Weill Cornell Medical Center	New York	NY
Internal Medicine	New York-Presbyterian Weill Cornell Medical Center	New York	NY
Internal Medicine	New York-Presbyterian Weill Cornell Medical Center	New York	NY
Internal Medicine	Northwestern McGaw/NMH/VA	Chicago	IL
Internal Medicine	NYU Grossman School of Medicine-Brooklyn Community Health	New York	NY
Internal Medicine	Ohio State University Medical Center	Columbus	OH
Internal Medicine	Penn State Health Milton S. Hershey Medical Center	Hershey	PA
Internal Medicine	Stanford Health Care	Stanford	CA
Internal Medicine	Stanford Health Care	Stanford	CA
Internal Medicine	Tufts Medical Center	Boston	MA
Internal Medicine	UC San Diego Medical Center	San Diego	CA
Internal Medicine	University of Arizona College of Medicine	Mesa	AZ
Internal Medicine	University of Colorado School of Medicine	Aurora	CO
Internal Medicine	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine	University of Texas Southwestern Medical Center	Dallas	TX
Internal Medicine	University of Washington Affiliated Hospitals	Seattle	WA
Internal Medicine	UPMC Medical Education	Pittsburgh	PA
Internal Medicine	UPMC Medical Education	Pittsburgh	PA
Internal Medicine	UPMC Medical Education	Pittsburgh	PA
Internal Medicine	UPMC Medical Education	Pittsburgh	PA
Internal Medicine	UPMC Medical Education	Pittsburgh	PA
Internal Medicine	UPMC Medical Education	Pittsburgh	PA
Internal Medicine/Primary Care	Brown University/Rhode Island Hospital	Providence	RI
Internal Medicine/Center of Outpatient Education	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Internal Medicine/Clinical Education	Cleveland Clinic	Cleveland	OH
Internal Medicine/Primary Care	Emory University School of Medicine	Atlanta	GA
Internal Medicine/PSTP	Johns Hopkins Hospital	Baltimore	MD
Internal Medicine/Primary Care	UC San Diego Medical Center	San Diego	CA
Internal Medicine-Pediatrics	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Internal Medicine-Pediatrics	Duke University Medical Center	Durham	NC
Internal Medicine-Pediatrics	University of Cincinnati Medical Center	Cincinnati	OH
Internal Medicine-Pediatrics	University of Michigan Medical Center	Ann Arbor	MI
Internal Medicine-Pediatrics	University of Michigan Medical Center	Ann Arbor	MI
Interventional Radiology-Integrated	Stanford Health Care	Stanford	CA
Interventional Radiology-Integrated	University of Vermont Medical Center	Burlington	VT
Neurological Surgery	Ascension St. Vincent Hospital	Indianapolis	IN
Neurological Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Neurological Surgery	Case Western Reserve University/University Hospitals Cleveland Medical Center	Cleveland	OH
Neurological Surgery	Cleveland Clinic	Cleveland	OH
Neurological Surgery	Rush University Medical Center	Chicago	IL
Neurological Surgery	SUNY Upstate Medical University	Syracuse	NY
Neurological Surgery	UCLA Medical Center	Los Angeles	CA
Neurological Surgery	University at Buffalo School of Medicine	Buffalo	NY
